uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:1aoVp7cBSUFvhQPdP1LIaE,0.687,0.696,-4.719,0.173,0.355,0.0,0.104,0.842,80.044
spotify:track:2rswsdvGNEZm4jwTqlWSnP,0.888,0.798,-3.673,0.0877,0.341,0.0,0.0401,0.881,114.975
spotify:track:1ihIXI2MVklmJdPvIUxExZ,0.702,0.587,-5.816,0.122,0.273,0.0,0.0631,0.773,140.005
spotify:track:4Eh8jBc6OMksm9T7ZOgvhK,0.808,0.486,-7.054,0.273,0.33,0.0,0.25,0.695,122.868
spotify:track:34HTGcgaMOzOQHwkVsWQpf,0.627,0.49,-5.884,0.0854,0.317,0.0,0.122,0.412,69.066
spotify:track:16J9CcYE8XRrjHolbP148Y,0.86,0.481,-6.684,0.303,0.425,0.0,0.0705,0.937,93.026
spotify:track:7zDu3l7DDlfSlt20YMKkWo,0.767,0.551,-6.654,0.118,0.395,0.0,0.13,0.881,139.937
spotify:track:1OqUHRSeEAqGexeUIxD3Cw,0.605,0.596,-7.543,0.0415,0.146,0.242,0.142,0.0494,99.948
spotify:track:7BWSk2aTjFUT36b1aEsJzs,0.662,0.466,-7.418,0.0268,0.167,0.00029,0.0967,0.567,89.998
spotify:track:6Z1c71SlMjSI7TZiGu4KaG,0.83,0.491,-4.735,0.0445,0.0842,0.0,0.0915,0.966,132.939
spotify:track:5J2pbMmUcDeaYTyJ3KPjyE,0.632,0.811,-3.306,0.0695,0.181,0.0,0.25,0.607,107.862
spotify:track:4MmPhFWLOT4j5LWMLhJS8F,0.865,0.636,-5.297,0.045,0.0597,2.43e-06,0.0999,0.788,112.962
spotify:track:7BOWxiySEAHOrmskXiZVYF,0.725,0.601,-3.618,0.0486,0.46,0.0,0.0879,0.545,135.945
spotify:track:4r5d7zEBmDBFxKv5JfjSaY,0.659,0.843,-4.313,0.194,0.0585,0.0,0.0887,0.875,76.052
spotify:track:3axXgFQ1Q8cvwnpSqMAwn1,0.48,0.415,-7.424,0.0445,0.385,0.000541,0.0844,0.173,91.611
spotify:track:4Xq8fPbkEcmBT5jMBn7iu7,0.628,0.75,-5.021,0.343,0.165,0.0,0.069,0.663,75.659
spotify:track:2XaQJLamoo5VDrwg3SPLy3,0.688,0.814,-4.428,0.261,0.18,0.0,0.3,0.494,83.938
spotify:track:5rUZeNNC4R65U6UeElMoss,0.677,0.622,-6.171,0.0469,0.499,0.0,0.0907,0.439,90.041
spotify:track:5a0dx1SvXzIr4O3db4ZYwh,0.675,0.606,-6.925,0.0819,0.6,0.0,0.115,0.372,93.923
spotify:track:5rktiIcACrrO1TUV0guLiz,0.393,0.466,-6.537,0.0533,0.263,0.0,0.113,0.218,159.839
spotify:track:5gYmPeY9zKko2K3d4SMTeo,0.701,0.59,-6.276,0.146,0.344,0.0,0.0666,0.656,86.753
spotify:track:2WnJKDk2OlzrTL9OFsKDMW,0.605,0.644,-2.706,0.0464,0.312,0.0,0.105,0.51,145.7
spotify:track:3oGi2hntJYeCH1eWUfCI5m,0.659,0.761,-7.246,0.243,0.142,0.0,0.0961,0.203,79.981
spotify:track:1Eh3vui2oGuZovBpioRxqe,0.844,0.484,-6.562,0.0472,0.461,1.06e-06,0.134,0.811,105.971
spotify:track:6xDuCfOD3RT2ezdNKt6UCY,0.525,0.661,-8.679,0.194,0.372,0.00155,0.167,0.624,175.812
spotify:track:3Uf4GlU2wqL1a0HATUDnNa,0.689,0.649,-5.999,0.0868,0.0519,0.00103,0.12,0.216,150.082
spotify:track:5EruC4ALAKeRzMkhTyImOX,0.75,0.723,-4.971,0.369,0.306,0.0,0.0952,0.836,92.075
spotify:track:2PrGT0zUrne2PXu8kTCweT,0.742,0.746,-4.169,0.046,0.0332,0.0,0.2,0.894,106.949
spotify:track:7LswLVDTUA5cOCEj78LZ4S,0.684,0.554,-6.818,0.0443,0.312,0.0,0.105,0.881,87.963
spotify:track:5V2aDIJcwcDu5m3PTqiIA3,0.763,0.804,-5.777,0.176,0.0162,0.0,0.446,0.564,110.018
spotify:track:75ai0ibymmqyCyaxwZuhnu,0.768,0.618,-6.928,0.0529,0.317,0.0,0.299,0.7,96.975
spotify:track:0Hiqpv2mN9Rzmms0unWMTu,0.68,0.594,-8.579,0.194,0.0623,0.0,0.253,0.74,91.26
spotify:track:2AA1f7utyvXpmtKsEvp5lz,0.726,0.492,-8.046,0.0794,0.566,8.14e-06,0.257,0.526,85.939
spotify:track:7EAkXA5TvfYOYE9EzE3mtc,0.422,0.518,-6.108,0.0859,0.768,0.0,0.358,0.563,140.817
spotify:track:0qJPMK2as5GUi5iSaGUAhR,0.598,0.426,-5.687,0.0835,0.832,0.0,0.0887,0.603,79.6
spotify:track:4OWJIjuq5xtDlbCvg2bH3u,0.697,0.846,-4.999,0.0975,0.174,0.0,0.142,0.754,115.037
spotify:track:6J8xXKZfWLUGijsztBfb6Z,0.466,0.635,-5.25,0.101,0.226,0.0,0.311,0.396,82.951
spotify:track:3e0VhBdgJLUhI1ErcrY64B,0.779,0.559,-6.282,0.0778,0.225,0.0,0.0924,0.9,85.005
spotify:track:3Nad05x6olUEDB13M5U2kC,0.747,0.493,-7.691,0.0526,0.625,0.00413,0.105,0.346,88.005
spotify:track:4raOR19WXie8o9VLuEPEaS,0.452,0.533,-6.453,0.0524,0.444,0.0,0.104,0.171,97.203
spotify:track:0JJeoiCAa1hwcBsPxBN2w4,0.693,0.797,-5.694,0.193,0.0824,0.0,0.108,0.661,102.908
spotify:track:0TNeo89BkTzqlkUBtjxOxQ,0.762,0.71,-5.264,0.0405,0.0451,2e-06,0.167,0.627,97.022
spotify:track:0MHNCzgdgYBfNxB4xHmPM7,0.652,0.77,-4.467,0.221,0.242,0.0,0.042,0.963,179.911
spotify:track:7qOZU5DXQ3HJsrzngN7Qjf,0.702,0.738,-3.481,0.125,0.224,0.0,0.119,0.922,95.977
spotify:track:55PAS4aDqrYvDFf8g0QM74,0.541,0.681,-3.703,0.423,0.51,0.0,0.0614,0.883,177.784
spotify:track:1GWAuOd7yJs1r3KtyFl5XH,0.732,0.798,-4.928,0.278,0.446,0.0,0.0929,0.696,95.97
spotify:track:1l3ZtQ8nf901ie0t49FS12,0.797,0.741,-5.794,0.0906,0.12,0.0,0.119,0.823,105.023
spotify:track:1uFNDwtpFH6ASWsAoeEajI,0.767,0.862,-3.647,0.126,0.28,0.0,0.122,0.848,114.036
spotify:track:51R4fQ1lmnIbYJzBTWP4Mk,0.811,0.735,-4.985,0.0513,0.00877,4.52e-06,0.078,0.763,110.024
spotify:track:7zUsKX3HhaXi7B2YvuOmVZ,0.634,0.766,-5.781,0.186,0.0898,0.0,0.081,0.485,154.154
spotify:track:6Stb5xQgTF3bzGWlqryMxG,0.907,0.524,-7.764,0.199,0.196,1.94e-06,0.0686,0.784,140.007
spotify:track:08aurbdx6Lh5dhNYAXYiBa,0.81,0.769,-5.259,0.204,0.269,0.0,0.406,0.285,105.017
spotify:track:69F89vyxsDnnYNJ9HfwoKr,0.731,0.932,-1.452,0.0841,0.0614,0.0,0.255,0.914,140.083
spotify:track:1vb8Hd9DKciMKBBIwV5QmD,0.85,0.488,-7.052,0.0689,0.552,0.0,0.127,0.531,92.023
spotify:track:6ioaDimY5lmeAl5gBh0imb,0.684,0.742,-4.598,0.116,0.581,1.06e-05,0.184,0.861,80.246
spotify:track:39u6BVHjRo6xU7Tpa1h0Yd,0.488,0.641,-4.391,0.052,0.214,0.0,0.134,0.437,80.18
spotify:track:0ppY4dt67PtwMOZUZpTU4z,0.731,0.859,-3.132,0.1,0.279,0.0,0.0453,0.538,104.976
spotify:track:4gh9wE9VUcpbUGR9G2ljeH,0.558,0.643,-6.317,0.155,0.765,0.0,0.0982,0.473,79.469
spotify:track:5iOAtCkFtfPZoMeMbhMIY0,0.663,0.597,-8.101,0.0564,0.399,0.0,0.139,0.614,140.007
spotify:track:1QFMj5GGXMY7K30dlpAs7j,0.514,0.543,-5.129,0.0324,0.642,0.0,0.0923,0.29,120.006
spotify:track:6Ku5c9UpQh030QPwGpuf7I,0.594,0.59,-7.768,0.0298,0.837,0.0273,0.277,0.672,99.966
spotify:track:2Z2ALuT9qIxffXAnUX46IG,0.677,0.733,-6.939,0.0516,0.49,2.39e-06,0.179,0.521,100.053
spotify:track:1az2fsYCqGXuTmRdAiRwWw,0.747,0.468,-9.607,0.0643,0.454,0.0,0.0853,0.359,118.991
spotify:track:4o0hdmagnZlMFqF5i42MRE,0.53,0.598,-5.708,0.0761,0.246,0.0,0.178,0.244,151.401
spotify:track:1vjjUCkWqRicy9j1dJflBy,0.526,0.658,-7.495,0.089,0.237,0.00068,0.359,0.513,171.708
spotify:track:0o8NDGeaDGeNUrjKgVYM59,0.54,0.792,-5.025,0.143,0.0946,3.5e-06,0.15,0.438,95.18
spotify:track:6Qo4x74ItniMSqyRDAwyKW,0.612,0.587,-5.431,0.0503,0.638,0.0,0.176,0.367,166.092
spotify:track:0MiphDS5xfMLuxlHWSe141,0.659,0.644,-5.415,0.0459,0.137,0.0,0.0745,0.588,105.059
spotify:track:0vfjkdOLTqjiYrWrkW61ZS,0.587,0.153,-13.815,0.0305,0.979,0.353,0.072,0.139,79.65
spotify:track:2FXKtreeU7nH5zeN94pk4O,0.654,0.899,-3.703,0.103,0.0502,0.0,0.34,0.633,99.966
spotify:track:5K209mgnrnMPLNIluT9m77,0.713,0.731,-5.558,0.0383,0.0527,0.0,0.0981,0.417,134.04
spotify:track:5TwenqdGBP8ZQGGvfz2IkK,0.459,0.329,-8.74,0.0861,0.638,0.00177,0.109,0.178,92.636
spotify:track:6TuIgDsaBCFs4bYud1CwJU,0.737,0.665,-5.643,0.349,0.133,0.0,0.07,0.961,90.082
spotify:track:2yngiU9VWoxySD6TehxeDZ,0.828,0.636,-5.78,0.0427,0.0397,1.92e-06,0.102,0.588,100.006
spotify:track:5yyJr6cv3cObSAioXR8h8X,0.747,0.725,-6.249,0.0388,0.0972,0.0,0.106,0.664,119.887
spotify:track:2XdyebP7KxClMOse2C5iyA,0.667,0.233,-11.862,0.0302,0.928,2.69e-05,0.154,0.131,101.865
spotify:track:5XSaFLb9dlUdCwC9WAAsaC,0.653,0.712,-3.732,0.0587,0.637,0.0,0.207,0.675,80.031
spotify:track:4sujPvcfPHfYonL7bC1ZaG,0.603,0.484,-6.88,0.321,0.647,0.0,0.127,0.478,81.382
spotify:track:50ULLiOirobobhnV4i0Dj3,0.64,0.495,-8.506,0.0434,0.42,0.0001,0.369,0.244,140.103
