uri,danceability,energy,loudness,speechiness,acousticness,instrumentalness,liveness,valence,tempo
spotify:track:0AdjJ2SaOeb5bPJ67nDbsW,0.524,0.586,-5.431,0.0262,0.356,0.0,0.121,0.285,101.214
spotify:track:6WLS56xiRrXjSm9RSdL3zD,0.583,0.732,-5.728,0.0457,0.00312,9.86e-06,0.269,0.276,145.992
spotify:track:0oKirc4PvdojcXujFY6H1d,0.539,0.912,-4.902,0.0369,0.0405,0.00133,0.105,0.495,151.001
spotify:track:4HBvh8d07aKcqrBubN0W2t,0.686,0.679,-5.267,0.0376,0.0242,0.0,0.159,0.435,100.034
spotify:track:7I5fYc4qKJddht8Ozhqqdx,0.687,0.793,-3.577,0.0333,0.302,3.46e-06,0.1,0.673,100.993
spotify:track:5i2c4cCB7Um6qoN8O4kpRD,0.696,0.88,-3.726,0.0437,0.0183,0.0,0.301,0.831,102.006
spotify:track:080ZOA2VS34ybjZoUqcWau,0.934,0.694,-5.849,0.1,0.0963,1.21e-06,0.479,0.835,123.822
spotify:track:0rrs0jmCzyY6XgNzePI1I1,0.701,0.907,-4.437,0.0548,0.0147,0.0,0.167,0.914,127.985
spotify:track:5OUSPcqhYTOzpbXzoEvKim,0.681,0.845,-5.147,0.0525,0.0304,0.0,0.197,0.761,132.023
spotify:track:33NHr7lu7tCMjK05jUj1v0,0.777,0.898,-4.461,0.0581,0.0322,0.0,0.313,0.866,111.996
spotify:track:2Wf0uMfCpwLO1B2Up3NbXH,0.811,0.699,-5.211,0.114,0.0726,1.38e-06,0.148,0.733,122.987
spotify:track:5kZRoc6Gz7u5eu4a0YM2LS,0.731,0.639,-6.597,0.0359,0.0206,1.29e-05,0.0789,0.527,122.08
spotify:track:4tRLfSHpbjlIjV97RPWr9Y,0.51,0.692,-5.825,0.171,0.00451,0.0,0.138,0.209,102.42
spotify:track:2qxaR31Te4xDR2yO6LqM8z,0.611,0.706,-5.036,0.0603,0.313,0.0,0.053,0.724,157.968
spotify:track:0u4htORODiTK9vHVA89MQX,0.64,0.602,-7.902,0.0299,0.0646,0.0,0.375,0.951,111.87
spotify:track:172FRKucnRtdwKCfpUrVIz,0.58,0.455,-7.752,0.0259,0.688,1.32e-06,0.107,0.304,89.986
spotify:track:1i1fxkWeaMmKEB4T7zqbzK,0.532,0.869,-5.094,0.172,0.157,0.00508,0.136,0.422,159.803
spotify:track:3vv9phIu6Y1vX3jcqaGz5Z,0.713,0.802,-7.055,0.0561,0.0435,0.00377,0.309,0.343,100.001
spotify:track:5YHR8wBR5jXfGtP766NiAT,0.503,0.843,-4.991,0.316,0.0487,0.0,0.344,0.778,128.63
spotify:track:4vS8VaBwJJV5Ry7UFIQuoo,0.723,0.809,-3.081,0.0625,0.00346,0.00123,0.565,0.274,98.007
spotify:track:40YcuQysJ0KlGQTeGUosTC,0.756,0.674,-6.518,0.0959,0.0184,0.0,0.158,0.389,111.995
spotify:track:0azC730Exh71aQlOt9Zj3y,0.631,0.927,-2.787,0.0332,0.199,0.119,0.148,0.465,123.962
spotify:track:7py16W5fWYLFFS6BElKAjn,0.605,0.77,-3.645,0.0446,0.0431,0.0,0.159,0.298,130.037
spotify:track:3T8j0WDSw7G98rNLAe2M2X,0.706,0.897,-2.539,0.0349,0.012,1.01e-06,0.343,0.626,125.002
spotify:track:0Y1MWB026LYxGvhq4EcMiC,0.659,0.911,-2.28,0.0786,0.154,0.000304,0.191,0.576,91.999
spotify:track:4iCKHGl4ij4YMwFrUZLGEQ,0.647,0.879,-0.93,0.0831,0.0837,1.98e-06,0.538,0.427,126.042
spotify:track:6OZh916QF8XNunWaP97WEZ,0.459,0.587,-6.983,0.0785,0.453,0.0,0.307,0.581,113.901
spotify:track:5BXNi1mVw6Cu7zzqR1VZbR,0.648,0.754,-5.718,0.0555,0.0152,0.0,0.0929,0.684,96.017
spotify:track:2meEiZKWkiN28gITzFwQo5,0.623,0.734,-5.948,0.107,0.0162,1.75e-06,0.145,0.37,107.853
spotify:track:58PqmLLZuzQuFSh1h3qOWU,0.803,0.525,-7.091,0.0394,0.334,0.0,0.127,0.907,104.023
spotify:track:1HfxPaJggVwFsvOtHbVzMz,0.589,0.893,-2.948,0.0397,0.0273,0.0,0.343,0.94,92.011
spotify:track:7vzKdIfbDPMbmfzAoQgf3L,0.578,0.753,-5.166,0.03,0.0069,0.0,0.114,0.481,147.938
spotify:track:4epaMtVDYg7MMVBGzEjkmh,0.644,0.762,-5.201,0.0669,0.00428,0.00307,0.109,0.291,126.991
spotify:track:5Cbu6tK36mFasjGE9N7xrV,0.433,0.829,-4.736,0.0458,0.0555,0.0,0.371,0.501,152.088
spotify:track:2wG5NwD5tNJ0KzGcFgXMCo,0.624,0.811,-4.36,0.0343,0.0365,0.0,0.0899,0.942,94.517
spotify:track:13wYXGimJ5fANFu0y2pqG1,0.625,0.825,-5.758,0.0481,0.0621,0.0,0.0753,0.341,100.004
spotify:track:6W9W8dSswA8KNegvl3W97V,0.616,0.893,-3.588,0.0375,0.000937,0.0,0.111,0.567,111.959
spotify:track:0rHVd8h0cFwgLgPFem6S60,0.916,0.804,-3.406,0.049,0.37,1.18e-05,0.0812,0.538,120.028
spotify:track:2t5yoJZc6RN6FkUMWD58UA,0.746,0.93,-3.852,0.144,0.0535,4.26e-06,0.0636,0.811,104.914
spotify:track:7D49Iig0avHre9RFSUMkd2,0.599,0.854,-5.429,0.0436,0.0746,0.0,0.278,0.311,119.986
spotify:track:06KyNuuMOX1ROXRhj787tj,0.728,0.563,-8.053,0.134,0.621,0.0,0.179,0.352,100.017
spotify:track:2vI1hX9KJlYdZA8OrletsY,0.596,0.829,-2.453,0.0312,0.0071,0.0,0.125,0.449,116.886
spotify:track:7pAvPHGoTku365EFfoM6SD,0.771,0.619,-4.268,0.0344,0.111,0.0,0.139,0.937,99.97
spotify:track:1sSNWjLtY4GwyhqAwAnPD9,0.659,0.767,-3.016,0.261,0.12,0.0,0.181,0.554,181.818
spotify:track:3WKg25vrbjJlkhsgl2W4p3,0.646,0.431,-8.517,0.0262,0.637,6.99e-06,0.113,0.292,90.034
spotify:track:47zREtxQZ3cHHIZwUQnuuN,0.564,0.552,-5.438,0.055,0.439,0.0,0.163,0.26,119.907
spotify:track:2CzXAeABCmbEB52ZziuMsH,0.638,0.893,-4.21,0.059,0.0534,0.0,0.256,0.904,91.981
spotify:track:7sG2bWi2eDtvX9vX8yC1Gn,0.545,0.65,-5.853,0.0315,0.00308,7.98e-06,0.122,0.121,143.937
spotify:track:5LZQ5s0kRZS9nBSd1xLK7U,0.794,0.476,-4.337,0.0558,0.354,0.00307,0.332,0.471,129.827
spotify:track:7AdNd20xhJsdlOY93H5HiD,0.602,0.919,-4.71,0.0491,0.0468,0.0,0.144,0.576,99.98
spotify:track:1dDh5CNFdRHvkZxxy3CHAI,0.457,0.899,-2.591,0.132,0.0019,0.0,0.831,0.298,147.268
spotify:track:4vSSBsriHfHnvqNjeaO8AZ,0.717,0.851,-3.507,0.0957,0.0791,0.0,0.0652,0.955,90.971
spotify:track:0zEhEwcbYQGA20Fkl8SvC2,0.779,0.748,-5.332,0.0405,0.00567,1.01e-05,0.0996,0.238,128.031
spotify:track:1RAa6ubx1dL5xWSZwQvxoi,0.698,0.723,-5.884,0.0252,0.0527,0.000214,0.29,0.651,120.006
spotify:track:4nVyHATevhl5RC6Qmoko5H,0.646,0.94,-2.856,0.0838,0.0209,0.0,0.0691,0.704,129.011
spotify:track:13P5rwmk2EsoFRIz9UCeh9,0.719,0.671,-6.279,0.0336,0.0372,8.21e-06,0.12,0.786,130.027
spotify:track:2wqXQjOmQ9KoBm9Ssgt4Fo,0.514,0.659,-6.142,0.0309,0.0284,0.0,0.266,0.463,76.483
spotify:track:7q6pbvEyzDsQkHvBLYonfM,0.577,0.92,-3.992,0.0478,0.134,2.17e-06,0.131,0.639,116.971
spotify:track:7qUJQSNX9QNf46CC6FgH66,0.502,0.786,-4.378,0.317,0.255,0.0,0.65,0.739,169.021
spotify:track:7BKLCZ1jbUBVqRi2FVlTVw,0.748,0.524,-5.599,0.0338,0.414,0.0,0.111,0.661,95.01
spotify:track:0OwX5aROoW1Iip8FV51Efg,0.756,0.589,-5.093,0.232,0.0812,0.0,0.176,0.811,146.928
spotify:track:19PJf5HzeiVW0mdk82Swmn,0.526,0.661,-3.828,0.0333,0.361,0.0,0.087,0.556,78.132
spotify:track:5JGdU7do8TYHG2DXd5nr2w,0.717,0.678,-6.167,0.0379,0.0195,0.000434,0.201,0.556,94.976
spotify:track:4kDTvLhGF29gFsqceuxBSC,0.462,0.387,-7.401,0.0292,0.567,0.0,0.164,0.0428,122.698
spotify:track:4nMlau89VAjmV7agkl7OY3,0.822,0.544,-6.797,0.0332,0.562,2.4e-05,0.144,0.861,122.047
spotify:track:3XIIOCu6B8PuGq5j61asEM,0.666,0.723,-6.164,0.268,0.0109,0.00047,0.0507,0.739,192.024
spotify:track:62y5r15Jeos7KFaZ0FUGVm,0.603,0.689,-6.016,0.0347,0.108,0.0,0.147,0.27,85.026
spotify:track:47OFoMQLJKXakOb3crHUGG,0.693,0.951,-2.967,0.138,0.0573,0.00139,0.0481,0.838,89.939
spotify:track:3axkNosdVQLZiq1HakuGhc,0.665,0.787,-5.73,0.151,0.308,0.0,0.219,0.699,167.349
spotify:track:771AUJbh8HBRvfdeLpEjQu,0.518,0.621,-6.334,0.0278,0.0705,0.0,0.354,0.566,149.771
spotify:track:4I5azUh7XiUcjFzAZUPfzX,0.608,0.833,-4.458,0.036,0.0155,2.07e-06,0.086,0.395,93.977
spotify:track:3Qi2o8uPKDByu6vFF1iq9d,0.766,0.594,-9.636,0.0511,0.0964,0.000219,0.104,0.35,104.957
